,LCL,mean,HCL,x,,Prediction,obs
Pct_d15g_ex_1.1,1.20188,1.33725,1.488273,1,,1.33725,0.9448
Pct_d15g_ex_1.2,5.9998035,6.494945,7.0141835,2,,5.157695,8.0286
Pct_d15g_ex_1.3,12.94048,13.8047,14.71393,3,,7.309755,6.9637
Pct_d15g_ex_1.4,20.14358,21.3511,22.674025,4,,7.5464,5.5285
Pct_d15g_ex_1.5,26.6154,28.13515,29.834375,5,,6.78405,8.4916
Pct_d15g_ex_1.6,32.0535,33.80035,35.7504,6,,5.6652,3.7691
Pct_d15g_ex_1.7,36.5028,38.3562,40.38671,7,,4.55585,4.2321
Pct_d15g_ex_1.8,40.057515,41.9583,43.964145,8,,3.6021,3.6765
Pct_d15g_ex_1.9,42.88685,44.7403,46.685035,9,,2.782,1.2689
Pct_d15g_ex_1.10,45.11159,46.8898,48.754,10,,2.1495,0.9911
Pct_d15g_ex_1.11,46.8003,48.5392,50.36132,11,,1.6494,1.0837
Pct_d15g_ex_1.12,48.10286,49.79495,51.60804,12,,1.25575,0.6207
Pct_d15g_ex_1.13,49.051695,50.75555,52.60755,13,,0.9606,0.4355
Pct_d15g_ex_1.14,49.705095,51.51035,53.4231,14,,0.7548,0.8985
Pct_d15g_ex_1.15,50.192885,52.09515,54.064365,15,,0.5848,1.6393
Pct_d15g_ex_1.16,50.538385,52.5141,54.605795,16,,0.41895,1.6393
Pct_d15g_ex_1.17,50.763265,52.84715,55.02421,17,,0.33305,3.2135
Pct_d15g_ex_1.18,50.94245,53.111,55.37922,18,,0.26385,0.7596
Pct_d15g_ex_1.19,51.062005,53.3055,55.6561,19,,0.1945,1.6856
Pct_d15g_ex_1.20,51.141595,53.46245,55.893515,20,,0.15695,0.7133
Pct_d15g_ex_1.21,51.21013,53.58065,56.08735,21,,0.1182,0.7133
Pct_d15g_ex_1.22,51.25199,53.6705,56.22645,22,,0.08985,0.2503
Pct_d15g_ex_1.23,51.275,53.7471,56.34354,23,,0.0766,0.4587
Pct_d15g_ex_1.24,51.30036,53.796,56.43045,24,,0.0489,0.2503
