"","LCL","mean","HCL","x"
"Pct_d15g_ex_1.1",1.08499,1.18273,1.2899055,1
"Pct_d15g_ex_1.2",5.66283,6.110945,6.590824,2
"Pct_d15g_ex_1.3",12.7725,13.6471,14.56652,3
"Pct_d15g_ex_1.4",20.688895,21.8916,23.1501,4
"Pct_d15g_ex_1.5",28.201985,29.59695,31.00312,5
"Pct_d15g_ex_1.6",34.73576,36.1608,37.592405,6
"Pct_d15g_ex_1.7",40.062955,41.4387,42.799505,7
"Pct_d15g_ex_1.8",44.25358,45.5191,46.77976,8
"Pct_d15g_ex_1.9",47.43465,48.5866,49.738905,9
"Pct_d15g_ex_1.10",49.7382,50.84665,51.9268,10
"Pct_d15g_ex_1.11",51.4021,52.47215,53.529805,11
"Pct_d15g_ex_1.12",52.577165,53.63745,54.69868,12
"Pct_d15g_ex_1.13",53.3871,54.46405,55.54244,13
"Pct_d15g_ex_1.14",53.96075,55.0439,56.13831,14
"Pct_d15g_ex_1.15",54.358185,55.44985,56.576155,15
"Pct_d15g_ex_1.16",54.610585,55.73585,56.883975,16
"Pct_d15g_ex_1.17",54.776155,55.9333,57.103605,17
"Pct_d15g_ex_1.18",54.883475,56.06525,57.264,18
"Pct_d15g_ex_1.19",54.958275,56.1591,57.370845,19
"Pct_d15g_ex_1.20",55.01467,56.2184,57.4347,20
"Pct_d15g_ex_1.21",55.04725,56.26,57.49154,21
"Pct_d15g_ex_1.22",55.0689,56.28715,57.526235,22
"Pct_d15g_ex_1.23",55.08296,56.3056,57.551105,23
"Pct_d15g_ex_1.24",55.09388,56.3206,57.567155,24
