"","LCL","mean","HCL","x"
"Pct_d3g_ex_1.1",0.18613135,0.1991505,0.213163,1
"Pct_d3g_ex_1.2",1.0331995,1.099785,1.170393,2
"Pct_d3g_ex_1.3",2.47867,2.62593,2.781051,3
"Pct_d3g_ex_1.4",4.272174,4.503075,4.746338,4
"Pct_d3g_ex_1.5",6.1918675,6.49725,6.814495,5
"Pct_d3g_ex_1.6",8.07747,8.447015,8.82124,6
"Pct_d3g_ex_1.7",9.8500185,10.2611,10.6776,7
"Pct_d3g_ex_1.8",11.46009,11.902,12.347025,8
"Pct_d3g_ex_1.9",12.890455,13.3529,13.819805,9
"Pct_d3g_ex_1.10",14.141465,14.617,15.102705,10
"Pct_d3g_ex_1.11",15.225095,15.71055,16.201435,11
"Pct_d3g_ex_1.12",16.14869,16.6507,17.1467,12
"Pct_d3g_ex_1.13",16.9282,17.4537,17.955,13
"Pct_d3g_ex_1.14",17.597985,18.1329,18.653055,14
"Pct_d3g_ex_1.15",18.1516,18.70815,19.2534,15
"Pct_d3g_ex_1.16",18.616575,19.1971,19.761255,16
"Pct_d3g_ex_1.17",19.006695,19.61075,20.198625,17
"Pct_d3g_ex_1.18",19.329875,19.95965,20.5803,18
"Pct_d3g_ex_1.19",19.5996,20.25395,20.893215,19
"Pct_d3g_ex_1.20",19.8215,20.5005,21.160305,20
"Pct_d3g_ex_1.21",20.01009,20.7086,21.398315,21
"Pct_d3g_ex_1.22",20.1665,20.8849,21.608025,22
"Pct_d3g_ex_1.23",20.29244,21.0314,21.77921,23
"Pct_d3g_ex_1.24",20.400435,21.1568,21.9276,24
